12	187620	1	0.455349
12	327271	2	0.397303
12	155560	3	0.335875
12	108435	4	0.269912
12	85316	5	0.250552
12	227278	6	0.23056
12	335494	7	0.213597
12	324623	8	0.195368
12	85542	9	0.192411
12	59485	10	0.114422
12	293287	11	0.0994184
12	85235	12	-0.0732015
12	116048	13	-0.0955536
12	152557	14	-0.104165
12	211737	15	-0.174226
12	176968	16	-0.22641
12	321833	17	-0.802365
12	45324	18	-0.816295
12	315550	19	-0.839698
12	51596	20	-0.881212
12	338384	21	-0.892606
12	79347	22	-0.907523
12	224518	23	-0.9077
12	284422	24	-0.946126
12	172863	25	-1.00858
12	285110	26	-1.05004
12	326780	27	-1.05167
12	216508	28	-1.11361
12	295856	29	-1.30931
12	338191	30	-1.33783
12	-1	31	-1
12	-1	32	-1
12	-1	33	-1
12	-1	34	-1
12	-1	35	-1
12	-1	36	-1
12	-1	37	-1
12	-1	38	-1
12	-1	39	-1
12	-1	40	-1
12	-1	41	-1
12	-1	42	-1
12	-1	43	-1
12	-1	44	-1
12	-1	45	-1
12	-1	46	-1
12	-1	47	-1
12	-1	48	-1
12	-1	49	-1
12	-1	50	-1
2955	44855	1	1.15989
2955	257393	2	0.878578
2955	10609	3	0.855945
2955	143181	4	0.853689
2955	36979	5	0.839648
2955	46646	6	0.828631
2955	305356	7	0.811253
2955	69749	8	0.810281
2955	84569	9	0.806808
2955	3520	10	0.780363
2955	62974	11	0.774684
2955	44590	12	0.739103
2955	160631	13	0.7331
2955	291087	14	0.730725
2955	198750	15	0.726043
2955	14772	16	0.725198
2955	183666	17	0.723748
2955	309410	18	0.722166
2955	152557	19	0.709218
2955	83876	20	0.704996
2955	102801	21	0.694604
2955	103702	22	0.691755
2955	197086	23	0.688789
2955	166390	24	0.684395
2955	137635	25	0.680711
2955	85326	26	0.679571
2955	37413	27	0.674381
2955	157511	28	0.668124
2955	67156	29	0.664652
2955	111714	30	0.659283
2955	7358	31	0.656965
2955	40064	32	0.655793
2955	336960	33	0.653622
2955	276672	34	0.649048
2955	45615	35	0.645148
2955	321617	36	0.641627
2955	101608	37	0.635529
2955	134491	38	0.633856
2955	340034	39	0.630334
2955	296560	40	0.628443
2955	267544	41	0.625913
2955	205333	42	0.623702
2955	88630	43	0.617529
2955	326438	44	0.615445
2955	151478	45	0.614791
2955	48655	46	0.608599
2955	108396	47	0.605979
2955	186369	48	0.604435
2955	39843	49	0.603206
2955	11678	50	0.601508
6520	68606	1	1.27099
6520	60084	2	1.23532
6520	329952	3	1.16423
6520	279210	4	1.05248
6520	55095	5	1.03289
6520	47050	6	1.03013
6520	200511	7	1.00756
6520	232845	8	0.978967
6520	125460	9	0.974101
6520	177908	10	0.971324
6520	203833	11	0.960794
6520	222943	12	0.958515
6520	97270	13	0.95305
6520	77398	14	0.952679
6520	68477	15	0.947191
6520	164958	16	0.931291
6520	92109	17	0.919808
6520	311048	18	0.919705
6520	152707	19	0.91634
6520	139601	20	0.911485
6520	94458	21	0.910805
6520	72734	22	0.898417
6520	30258	23	0.895016
6520	83796	24	0.894839
6520	326930	25	0.888807
6520	162111	26	0.888072
6520	12582	27	0.887164
6520	298737	28	0.882615
